selected_site,Z,pop_dev,cost_over,water_short,env_short
Boughrara,32094.2646,273.44371,474.98936,0.0,0.0
Rjim_Maatoug,29007.928438,238.60138,512.1754,1.3018219,0.0
Boughrara,31378.7044,261.04618,527.40864,0.0,0.0
Rjim_Maatoug,31438.629244,260.34251,537.8496,1.2941122,0.0
Boughrara,28671.2671,240.36962,463.43051,0.0,0.0
Rjim_Maatoug,35114.225838,286.36888,644.8721,1.4308419,0.0
Boughrara,34540.4923,294.61436,507.90563,0.0,0.0
Rjim_Maatoug,30256.287958,256.28978,460.13053,1.3002329,0.0
Boughrara,30515.4701,255.25199,499.02711,0.0,0.0
Rjim_Maatoug,28071.15232,223.29601,571.50623,1.324451,0.0
Boughrara,29326.8629,246.3917,468.76929,0.0,0.0
Boughrara,31743.901499999996,267.67875,497.60265,0.0,0.0
Boughrara,31771.319900000002,263.49779,542.15409,0.0,0.0
Rjim_Maatoug,33384.755079999995,282.12253,514.96961,1.140299,0.0
Boughrara,30743.8081,256.97783,504.60251,0.0,0.0
Rjim_Maatoug,30879.165366,256.48779,520.06076,1.4889383,0.0
Rjim_Maatoug,32767.967846,267.39817,600.07487,1.3701073,0.0
Boughrara,29391.320200000002,237.0448,568.68402,0.0,0.0
Rjim_Maatoug,31189.134179999997,252.39967,592.29741,1.309654,0.0
Rjim_Maatoug,35429.1914182,296.14359,579.67599,0.90362591,0.0
Boughrara,29895.7763,258.82218,401.35583,0.0,0.0
Rjim_Maatoug,30302.96987,258.62874,441.14339,1.4330985,0.0
Boughrara,31959.449699999997,278.14977,414.44727,0.0,0.0
Boughrara,31261.6251,266.34703,462.69221,0.0,0.0
Rjim_Maatoug,32222.60196,272.4435,495.22523,1.299983,0.0
Rjim_Maatoug,31709.084243999998,257.86672,590.16468,1.0382722,0.0
Rjim_Maatoug,32757.448494000004,273.11919,541.44615,1.5533997,0.0
Rjim_Maatoug,26907.036308,205.77285,630.7555,1.1098154,0.0
Boughrara,30871.3576,248.90388,598.09696,0.0,0.0
Boughrara,32081.499499999998,265.36376,554.51235,0.0,0.0
Rjim_Maatoug,27627.282742,228.45552,475.53249,1.3202921,0.0
Boughrara,30310.9718,262.8775,402.32218,0.0,0.0
Rjim_Maatoug,32333.221260000006,278.03536,450.56519,1.201668,0.0
Boughrara,33206.606100000005,278.89246,531.73601,0.0,0.0
Boughrara,32320.0351,265.51592,576.84431,0.0,0.0
Rjim_Maatoug,33190.420214,285.68184,460.07181,1.0759057,0.0
